Orgao Responsável,Título,Link,Tipo,Data de Publicação,Resultado
DIRPO,EDITAL DIRPO Nº 01/2022 - PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) DO CURSO DE ARQUITETURA E URBANISMO E ENGENHARIA ELÉTRICA.,http://www.editais.ufu.br/node/5523,Estágio UFU,15/01/2022,Não Publ.
ADUFU - Seção Sindical,Oportunidade de Vaga de Estágio,http://www.editais.ufu.br/node/5496,Estágio UFU,20/12/2021,Não Publ.
DEPAE,EDITAL DE SELEÇÃO DE MONITORES,http://www.editais.ufu.br/node/5467,Estágio UFU,19/11/2021,Não Publ.
DEPAE,EDITAL DE SELEÇÃO DE BOLSISTAS COM CONHECIMENTO EM LIBRAS,http://www.editais.ufu.br/node/5468,Estágio UFU,19/11/2021,Não Publ.
FAUED,CONCURSO PARA ESCOLHA DO LOGOTIPO DO CURSO DE ARQUITETURA E URBANISMO DA FAUeD - FACULDADE DE ARQUITETURA E URBANISMO E DESIGN / UNIVERSIDADE FEDERAL DE UBERLÂNDIA,http://www.editais.ufu.br/node/5463,Estágio UFU,16/11/2021,Não Publ.
PROGRAD/DIREN/DLICE/PIBID/UBERLÂNDIA/ITUIUTABA,SELEÇÃO DE PROFESSOR SUPERVISOR DE ESCOLAS PÚBLICAS HABILITADAS PELA SUPERINTENDÊNCIA REGIONAL DE ENSINO DE UBERLÂNDIA PARA O PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA (PIBID),http://www.editais.ufu.br/node/5426,Estágio UFU,19/10/2021,Não Publ.
PET Estatística,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ESTATÍSTICA,http://www.editais.ufu.br/node/5424,Programa PET,18/10/2021,Não Publ.
PIBID-UFU,SELEÇÃO DE ALUNOS PARA O PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA/UFU – CAMPI UBERLÂNDIA E ITUIUTABA,http://www.editais.ufu.br/node/5416,Estágio UFU,08/10/2021,Não Publ.
DIRPE,SELEÇÃO DE AVALIADORES INTERNOS PARA COMPOR COMISSÃO DE AVALIAÇÃO DE PROJETOS DO EDITAL DIRPE Nº 10/2021 - CONVOCAÇÃO DE PROJETOS DE PESQUISA PARA BOLSAS DE INICIAÇÃO CIENTÍFICA PIBIC/FAPEMIG/UFU,http://www.editais.ufu.br/node/5402,Inic. Científica,29/09/2021,Não Publ.
PROGRAD/DIREN/DLICE/RP/UBERLÂNDIA,SELEÇÃO DE PROFESSOR PRECEPTOR PARA COMPLEMENTAÇÃO DE VAGAS DE ESCOLA PÚBLICA PARTICIPANTE DO PROGRAMA RESIDÊNCIA PEDAGÓGICA,http://www.editais.ufu.br/node/5401,Estágio UFU,28/09/2021,Não Publ.
